index, number,insert_comparisons,search_comparisons
859,859,10,19
860,860,10,19
861,861,10,19
862,862,10,19
863,863,10,19
864,864,10,19
865,865,10,19
866,866,10,19
867,867,10,19
868,868,10,19
869,869,10,19
870,870,10,19
871,871,10,19
872,872,10,19
873,873,10,19
874,874,10,19
875,875,10,19
876,876,10,19
877,877,10,19
878,878,10,19
879,879,10,19
880,880,10,19
881,881,10,19
882,882,10,19
883,883,10,19
884,884,10,19
885,885,10,19
886,886,10,19
887,887,10,19
888,888,10,19
889,889,10,19
890,890,10,19
891,891,10,19
892,892,10,19
893,893,10,19
894,894,10,19
895,895,10,19
896,896,10,19
897,897,10,19
898,898,10,19
899,899,10,19
900,900,10,19
901,901,10,19
902,902,10,19
903,903,10,19
904,904,10,19
905,905,10,19
906,906,10,19
907,907,10,19
908,908,10,19
909,909,10,19
910,910,10,19
911,911,10,19
912,912,10,19
913,913,10,19
914,914,10,19
915,915,10,19
916,916,10,19
917,917,10,19
918,918,10,19
919,919,10,19
920,920,10,19
921,921,10,19
922,922,10,19
923,923,10,19
924,924,10,19
925,925,10,19
926,926,10,19
927,927,10,19
928,928,10,19
929,929,10,19
930,930,10,19
931,931,10,19
932,932,10,19
933,933,10,19
934,934,10,19
935,935,10,19
936,936,10,19
937,937,10,19
938,938,10,19
939,939,10,19
940,940,10,19
941,941,10,19
942,942,10,19
943,943,10,19
944,944,10,19
945,945,10,19
946,946,10,19
947,947,10,19
948,948,10,19
949,949,10,19
950,950,10,19
951,951,10,19
952,952,10,19
953,953,10,19
954,954,10,19
955,955,10,19
956,956,10,19
957,957,10,19
958,958,10,19
959,959,10,19
960,960,10,19
961,961,10,19
962,962,10,19
963,963,10,19
964,964,10,19
965,965,10,19
966,966,10,19
967,967,10,19
968,968,10,19
969,969,10,19
970,970,10,19
971,971,10,19
972,972,10,19
973,973,10,19
974,974,10,19
975,975,10,19
976,976,10,19
977,977,10,19
978,978,10,19
979,979,10,19
980,980,10,19
981,981,10,19
982,982,10,19
983,983,10,19
984,984,10,19
985,985,10,19
986,986,10,19
987,987,10,19
988,988,10,19
989,989,10,19
990,990,10,19
991,991,10,19
992,992,10,19
993,993,10,19
994,994,10,19
995,995,10,19
996,996,10,19
997,997,10,19
998,998,10,19
999,999,10,19
1000,1000,10,19
1001,1001,10,19
1002,1002,10,19
1003,1003,10,19
1004,1004,10,19
1005,1005,10,19
1006,1006,10,19
1007,1007,10,19
1008,1008,10,19
1009,1009,10,19
1010,1010,10,19
1011,1011,10,19
1012,1012,10,19
1013,1013,10,19
1014,1014,10,19
1015,1015,10,19
1016,1016,10,19
1017,1017,10,19
1018,1018,10,19
1019,1019,10,19
1020,1020,10,19
1021,1021,10,19
1022,1022,10,19
1023,1023,10,21
1024,1024,11,21
1025,1025,11,21
1026,1026,11,21
1027,1027,11,21
1028,1028,11,21
1029,1029,11,21
1030,1030,11,21
1031,1031,11,21
1032,1032,11,21
1033,1033,11,21
1034,1034,11,21
1035,1035,11,21
1036,1036,11,21
1037,1037,11,21
1038,1038,11,21
1039,1039,11,21
1040,1040,11,21
1041,1041,11,21
1042,1042,11,21
1043,1043,11,21
1044,1044,11,21
1045,1045,11,21
1046,1046,11,21
1047,1047,11,21
1048,1048,11,21
1049,1049,11,21
1050,1050,11,21
1051,1051,11,21
1052,1052,11,21
1053,1053,11,21
1054,1054,11,21
1055,1055,11,21
1056,1056,11,21
1057,1057,11,21
1058,1058,11,21
1059,1059,11,21
1060,1060,11,21
1061,1061,11,21
1062,1062,11,21
1063,1063,11,21
1064,1064,11,21
1065,1065,11,21
1066,1066,11,21
1067,1067,11,21
1068,1068,11,21
1069,1069,11,21
1070,1070,11,21
1071,1071,11,21
1072,1072,11,21
1073,1073,11,21
1074,1074,11,21
1075,1075,11,21
1076,1076,11,21
1077,1077,11,21
1078,1078,11,21
1079,1079,11,21
1080,1080,11,21
1081,1081,11,21
1082,1082,11,21
1083,1083,11,21
1084,1084,11,21
1085,1085,11,21
1086,1086,11,21
1087,1087,11,21
1088,1088,11,21
1089,1089,11,21
1090,1090,11,21
1091,1091,11,21
1092,1092,11,21
1093,1093,11,21
1094,1094,11,21
1095,1095,11,21
1096,1096,11,21
1097,1097,11,21
1098,1098,11,21
1099,1099,11,21
1100,1100,11,21
1101,1101,11,21
1102,1102,11,21
1103,1103,11,21
1104,1104,11,21
1105,1105,11,21
1106,1106,11,21
1107,1107,11,21
1108,1108,11,21
1109,1109,11,21
1110,1110,11,21
1111,1111,11,21
1112,1112,11,21
1113,1113,11,21
1114,1114,11,21
1115,1115,11,21
1116,1116,11,21
1117,1117,11,21
1118,1118,11,21
1119,1119,11,21
1120,1120,11,21
1121,1121,11,21
1122,1122,11,21
1123,1123,11,21
1124,1124,11,21
1125,1125,11,21
1126,1126,11,21
1127,1127,11,21
1128,1128,11,21
1129,1129,11,21
1130,1130,11,21
1131,1131,11,21
1132,1132,11,21
1133,1133,11,21
1134,1134,11,21
1135,1135,11,21
1136,1136,11,21
1137,1137,11,21
1138,1138,11,21
1139,1139,11,21
1140,1140,11,21
1141,1141,11,21
1142,1142,11,21
1143,1143,11,21
1144,1144,11,21
1145,1145,11,21
1146,1146,11,21
1147,1147,11,21
1148,1148,11,21
1149,1149,11,21
1150,1150,11,21
1151,1151,11,21
1152,1152,11,21
1153,1153,11,21
1154,1154,11,21
1155,1155,11,21
1156,1156,11,21
1157,1157,11,21
1158,1158,11,21
1159,1159,11,21
1160,1160,11,21
1161,1161,11,21
1162,1162,11,21
1163,1163,11,21
1164,1164,11,21
1165,1165,11,21
1166,1166,11,21
1167,1167,11,21
1168,1168,11,21
1169,1169,11,21
1170,1170,11,21
1171,1171,11,21
1172,1172,11,21
1173,1173,11,21
1174,1174,11,21
1175,1175,11,21
1176,1176,11,21
1177,1177,11,21
1178,1178,11,21
1179,1179,11,21
1180,1180,11,21
1181,1181,11,21
1182,1182,11,21
1183,1183,11,21
1184,1184,11,21
1185,1185,11,21
1186,1186,11,21
1187,1187,11,21
1188,1188,11,21
1189,1189,11,21
1190,1190,11,21
1191,1191,11,21
1192,1192,11,21
1193,1193,11,21
1194,1194,11,21
1195,1195,11,21
1196,1196,11,21
1197,1197,11,21
1198,1198,11,21
